skill_id,skill_name,normalized_name,skill_category,skill_type
SK_00001,3D Development,3d development,Game Development,technical
SK_00002,3D Modeling,3d modeling,AR/VR,technical
SK_00003,A/B Testing,a/b testing,Data Science,technical
SK_00004,A/B Testing (UX),a/b testing (ux),UI/UX,technical
SK_00005,Active Directory,active directory,Systems,technical
SK_00006,Adaptability,adaptability,Adaptability,transferable
SK_00007,Adobe XD,adobe xd,UI/UX,technical
SK_00008,Agile Methodologies,agile methodologies,Management,technical
SK_00009,Artificial Intelligence,ai,Game Development,technical
SK_00010,Algorithms,algorithms,Game Development,technical
SK_00011,Altium,altium,Electronics,technical
SK_00012,Amazon API Gateway,amazon api gateway,Cloud,technical
SK_00013,Amazon DynamoDB,amazon dynamodb,Cloud,technical
SK_00014,Amazon RDS,amazon rds,Cloud,technical
SK_00015,Amazon Redshift,amazon redshift,Data Engineering,technical
SK_00016,Analytical Thinking,analytical thinking,Cognitive,transferable
SK_00017,Android Development,android development,Mobile Development,technical
SK_00018,Android Studio,android studio,Mobile Development,technical
SK_00019,Angular,angular,Frontend,technical
SK_00020,Anomaly Detection,anomaly detection,AI/ML,technical
SK_00021,Ansible,ansible,DevOps,technical
SK_00022,Apache Airflow,apache airflow,Data Engineering,technical
SK_00023,Apache Kafka,apache kafka,Data Engineering,technical
SK_00024,Apache Spark,apache spark,Data Engineering,technical
SK_00025,API Design,api design,Software Engineering,technical
SK_00026,API Gateway,api gateway,Architecture,technical
SK_00027,APIs,apis,Game Development,technical
SK_00028,App Store Deployment,app store deployment,Mobile Development,technical
SK_00029,Appium,appium,QA,technical
SK_00030,Application Security,application security,Cybersecurity,technical
SK_00031,ARCore,arcore,Mobile Development,technical
SK_00032,Arduino,arduino,Embedded Systems,technical
SK_00033,ArgoCD,argocd,DevOps,technical
SK_00034,ARKit,arkit,Mobile Development,technical
SK_00035,ARM Architecture,arm architecture,Embedded Systems,technical
SK_00036,ARM Cortex,arm cortex,Embedded Systems,technical
SK_00037,ASIC Design,asic design,VLSI,technical
SK_00038,Attention to Detail,attention to detail,Organization,transferable
SK_00039,Audio Processing,audio processing,AI/ML,technical
SK_00040,Augmented Reality,augmented reality,Mobile Development,technical
SK_00041,Authentication,authentication,Database Management,technical
SK_00042,Authorization,authorization,Software Engineering,technical
SK_00043,Auto Layout,auto layout,UI/UX,technical
SK_00044,Automated Testing,automated testing,Software Engineering,technical
SK_00045,Automation,automation,Software Engineering,technical
SK_00046,Amazon Web Services,aws,Cloud,technical
SK_00047,AWS CloudFormation,aws cloudformation,Cloud,technical
SK_00048,AWS EC2,aws ec2,Cloud,technical
SK_00049,AWS IAM,aws iam,Cloud,technical
SK_00050,AWS Lambda,aws lambda,Cloud,technical
SK_00051,AWS S3,aws s3,Cloud,technical
SK_00052,Azure,azure,Cloud,technical
SK_00053,Azure Active Directory,azure active directory,Cloud,technical
SK_00054,Azure Blob Storage,azure blob storage,Cloud,technical
SK_00055,Azure Cosmos DB,azure cosmos db,Cloud,technical
SK_00056,Azure DevOps,azure devops,Cloud,technical
SK_00057,Azure Functions,azure functions,Cloud,technical
SK_00058,Azure Virtual Machines,azure virtual machines,Cloud,technical
SK_00059,Backup and Recovery,backup and recovery,Systems,technical
SK_00060,Balsamiq,balsamiq,UI/UX,technical
SK_00061,Bash Scripting,bash scripting,Systems,technical
SK_00062,Behavior-Driven Development,behavior-driven development,Software Engineering,technical
SK_00063,BigQuery,bigquery,Cloud,technical
SK_00064,Bitcoin,bitcoin,Blockchain,technical
SK_00065,Blender,blender,Game Design,technical
SK_00066,Blockchain,blockchain,Blockchain,technical
SK_00067,Blueprints,blueprints,Game Development,technical
SK_00068,Burp Suite,burp suite,Cybersecurity,technical
SK_00069,Business Process Modeling,business process modeling,Analytics,technical
SK_00070,C,c,Embedded Systems,technical
SK_00071,C#,c#,Programming,technical
SK_00072,C# Scripting,c# scripting,Game Development,technical
SK_00073,C++,c++,AR/VR,technical
SK_00074,Caching Strategies,caching strategies,Architecture,technical
SK_00075,Canvas,canvas,Software Engineering,technical
SK_00076,CAP Theorem,cap theorem,Architecture,technical
SK_00077,Cassandra,cassandra,Database,technical
SK_00078,CI/CD,ci/cd,Cloud,technical
SK_00079,Circuit Design,circuit design,Electronics,technical
SK_00080,Cisco IOS,cisco ios,Systems,technical
SK_00081,Classification,classification,AI/ML,technical
SK_00082,Cloud Computing,cloud computing,Cloud,technical
SK_00083,Cloud Deployment,cloud deployment,Cloud,technical
SK_00084,Clustering,clustering,AI/ML,technical
SK_00085,Code Analysis,code analysis,AI/ML,technical
SK_00086,Code Review,code review,Software Engineering,technical
SK_00087,Collaboration,collaboration,Interpersonal,transferable
SK_00088,Combine Framework,combine framework,Mobile Development,technical
SK_00089,Communication,communication,Communication,transferable
SK_00090,"Compliance (ISO 27001, SOC 2)","compliance (iso 27001, soc 2)",Cybersecurity,technical
SK_00091,Computer Graphics,computer graphics,Game Development,technical
SK_00092,Computer Vision,computer vision,Mobile Development,technical
SK_00093,Conflict Resolution,conflict resolution,Interpersonal,transferable
SK_00094,Consensus Mechanisms,consensus mechanisms,Blockchain,technical
SK_00095,Container Registry,container registry,DevOps,technical
SK_00096,Content Generation,content generation,AI/ML,technical
SK_00097,Continuous Learning,continuous learning,Cognitive,transferable
SK_00098,Conversational AI,conversational ai,AI/ML,technical
SK_00099,Core Data,core data,Mobile Development,technical
SK_00100,Creativity,creativity,Creativity,transferable
SK_00101,Critical Thinking,critical thinking,Cognitive,transferable
SK_00102,Cron Jobs,cron jobs,DevOps,technical
SK_00103,CRUD Operations,crud operations,Database Management,technical
SK_00104,Cryptoeconomics,cryptoeconomics,Blockchain,technical
SK_00105,Cryptography,cryptography,Cloud,technical
SK_00106,CSS,css,Software Engineering,technical
SK_00107,Cucumber,cucumber,Testing,technical
SK_00108,Customer Service,customer service,Soft Skills,technical
SK_00109,Cybersecurity,cybersecurity,Cloud,technical
SK_00110,Cypress,cypress,QA,technical
SK_00111,Dart,dart,Mobile Development,technical
SK_00112,Dart Isolate,dart isolate,Mobile Development,technical
SK_00113,Data Analysis,data analysis,Analytics,technical
SK_00114,Data Cleaning,data cleaning,Data Science,technical
SK_00115,Data Engineering,data engineering,Cloud,technical
SK_00116,Data Handling,data handling,Mobile Development,technical
SK_00117,Data Modeling,data modeling,Data Engineering,technical
SK_00118,Data Science,data science,AI/ML,technical
SK_00119,Data Scraping,data scraping,Data Engineering,technical
SK_00120,Data Validation,data validation,Cloud,technical
SK_00121,Data Visualization,data visualization,Database Management,technical
SK_00122,Data Warehousing,data warehousing,Data Engineering,technical
SK_00123,Data-Driven Design,data-driven design,UI/UX,technical
SK_00124,Database Design,database design,Database Management,technical
SK_00125,Database Indexing,database indexing,Database,technical
SK_00126,Database Triggers,database triggers,Database,technical
SK_00127,Database Tuning,database tuning,Database,technical
SK_00128,Databricks,databricks,Data Engineering,technical
SK_00129,Date Handling,date handling,Software Engineering,technical
SK_00130,Debugging,debugging,AI/ML,technical
SK_00131,Decision Making,decision making,Decision Making,transferable
SK_00132,Deep Learning,deep learning,AI/ML,technical
SK_00133,DeFi,defi,Blockchain,technical
